symbol,entry_datetime,exit_datetime,entry_type,pnl
ZYDUSLIFE,1/2/2024 9:30,1/2/2024 9:55,buy,-0.00133671
BHEL,1/2/2024 9:55,1/2/2024 11:25,sell,-0.001370546
ABFRL,1/2/2024 9:50,1/2/2024 15:10,buy,0.004821622
BHEL,1/2/2024 11:25,1/2/2024 15:10,buy,-0.000762045
COALINDIA,1/2/2024 9:45,1/2/2024 15:10,buy,0.001174345
LUPIN,1/2/2024 9:35,1/2/2024 15:10,buy,0.00083723
MOTHERSON,1/2/2024 9:30,1/2/2024 15:10,sell,0.000616698
TATAMOTORS,1/2/2024 9:35,1/2/2024 15:10,sell,0.001090863
ADANIENT,1/3/2024 9:35,1/3/2024 10:40,buy,-0.002702397
ADANIPORTS,1/3/2024 9:35,1/3/2024 10:40,buy,-0.002225705
AMBUJACEM,1/3/2024 9:50,1/3/2024 10:40,buy,-0.002040816
HEROMOTOCO,1/3/2024 9:30,1/3/2024 12:50,buy,-0.002130938
CANBK,1/3/2024 10:30,1/3/2024 15:10,buy,0.001434638
HEROMOTOCO,1/3/2024 12:50,1/3/2024 15:10,sell,-0.000462055
HINDALCO,1/3/2024 9:30,1/3/2024 15:10,sell,0.001707135
IEX,1/3/2024 9:35,1/3/2024 15:10,sell,9.17E-05
NAUKRI,1/3/2024 9:30,1/3/2024 15:10,buy,-0.000502591
TECHM,1/3/2024 9:30,1/3/2024 15:10,sell,0.001202226
WIPRO,1/3/2024 9:35,1/3/2024 15:10,sell,0.000533944
BIOCON,1/4/2024 9:55,1/4/2024 10:35,sell,-0.001540914
IEX,1/4/2024 9:40,1/4/2024 10:45,sell,-0.001391831
IEX,1/4/2024 10:45,1/4/2024 11:45,buy,-0.001730827
ADANIPORTS,1/4/2024 9:30,1/4/2024 12:25,sell,-0.001070509
ADANIENT,1/4/2024 9:30,1/4/2024 15:10,sell,0.000357618
ADANIPORTS,1/4/2024 12:25,1/4/2024 15:10,buy,0.0004335
BAJFINANCE,1/4/2024 9:30,1/4/2024 15:10,buy,0.000134053
BIOCON,1/4/2024 10:35,1/4/2024 15:10,buy,-0.000924472
CHAMBLFERT,1/4/2024 9:55,1/4/2024 15:10,sell,0.000602487
HINDPETRO,1/4/2024 9:35,1/4/2024 15:10,sell,-0.000392234
NTPC,1/4/2024 9:40,1/4/2024 15:10,buy,1.58E-05
TATAMOTORS,1/4/2024 11:00,1/4/2024 15:10,buy,-0.000338325
VEDL,1/4/2024 14:00,1/4/2024 15:10,sell,-0.000277304
GAIL,1/5/2024 10:50,1/5/2024 13:15,sell,-0.002057613
IDEA,1/5/2024 11:10,1/5/2024 14:15,buy,-0.004
ATUL,1/5/2024 10:45,1/5/2024 15:10,sell,0.000651657
GAIL,1/5/2024 13:15,1/5/2024 15:10,buy,-0.001830025
